Source,Target,Type,Weight,TitleType
nm0001206,tt13432484,Undirected,1,movie
nm0001354,tt12789558,Undirected,1,movie
nm0001424,tt10832274,Undirected,1,movie
nm0001745,tt1160419,Undirected,1,movie
nm0001751,tt1321510,Undirected,1,movie
nm0002006,tt10872600,Undirected,1,movie
nm0002119,tt6802400,Undirected,1,movie
nm0002365,tt13322120,Undirected,1,movie
nm0002468,tt10872600,Undirected,1,movie
nm8389931,tt6802400,Undirected,1,movie
nm0002853,tt3480822,Undirected,1,movie
nm0002888,tt6334354,Undirected,1,movie
nm8633814,tt12361974,Undirected,1,movie
nm8633814,tt8847712,Undirected,1,movie
nm0003210,tt10752004,Undirected,1,movie
nm0003416,tt6506264,Undirected,1,movie
nm0003856,tt8174412,Undirected,1,movie
nm0003953,tt13453006,Undirected,1,movie
nm7281498,tt14134070,Undirected,1,movie
nm0004097,tt13892558,Undirected,1,movie
nm0004167,tt11096780,Undirected,1,movie
nm0004184,tt10468276,Undirected,1,movie
nm0004198,tt11271038,Undirected,1,movie
nm0004198,tt6334354,Undirected,1,movie
nm0004471,tt8269248,Undirected,1,movie
nm0004689,tt15049366,Undirected,1,movie
nm0004855,tt10872600,Undirected,1,movie
nm0004928,tt0993840,Undirected,1,movie
nm8989440,tt0993840,Undirected,1,movie
nm0004987,tt0870154,Undirected,1,movie
nm0005070,tt9376612,Undirected,1,movie
nm0005258,tt11196036,Undirected,1,movie
nm0005270,tt10016180,Undirected,1,movie
nm0005273,tt8110232,Undirected,1,movie
nm0005350,tt13453006,Undirected,1,movie
nm0005494,tt11003218,Undirected,1,movie
nm0006604,tt3811906,Undirected,1,movie
nm0006786,tt0870154,Undirected,1,movie
nm9135150,tt14134070,Undirected,1,movie
nm0008155,tt11273058,Undirected,1,movie
nm0008713,tt9531772,Undirected,1,movie
nm0008752,tt13225546,Undirected,1,movie
nm0008894,tt3811906,Undirected,1,movie
nm0009540,tt10121392,Undirected,1,movie
nm9447343,tt2325310,Undirected,1,movie
nm0011747,tt10293932,Undirected,1,movie
nm0011951,tt12618926,Undirected,1,movie
nm0011960,tt15847872,Undirected,1,movie
nm0012248,tt10731768,Undirected,1,movie
nm0012881,tt11045422,Undirected,1,movie
nm0012948,tt6334354,Undirected,1,movie
nm0013147,tt2488666,Undirected,1,movie
nm0013147,tt13458414,Undirected,1,movie
nm9827076,tt16764112,Undirected,1,movie
nm0014426,tt11579538,Undirected,1,movie
nm0014503,tt13894060,Undirected,1,movie
nm0014551,tt13667552,Undirected,1,movie
nm0014603,tt11083552,Undirected,1,movie
nm0015245,tt13021476,Undirected,1,movie
nm0015516,tt0870154,Undirected,1,movie
nm0015754,tt16384288,Undirected,1,movie
nm0015765,tt12687584,Undirected,1,movie
nm0016266,tt18690104,Undirected,1,movie
nm0016280,tt16257582,Undirected,1,movie
nm0016587,tt3472862,Undirected,1,movie
nm0016598,tt14536840,Undirected,1,movie
nm0017139,tt9471660,Undirected,1,movie
nm0017541,tt5078852,Undirected,1,movie
nm0017773,tt12851564,Undirected,1,movie
nm8836842,tt2076822,Undirected,1,movie
nm7103456,tt11214590,Undirected,1,movie
nm9057592,tt14941184,Undirected,1,movie
nm0019027,tt9895024,Undirected,1,movie
nm0019731,tt7268738,Undirected,1,movie
nm0020194,tt3828494,Undirected,1,movie
nm6285688,tt11286314,Undirected,1,movie
nm0020445,tt6759838,Undirected,1,movie
nm6653287,tt12989912,Undirected,1,movie
nm9779849,tt13071366,Undirected,1,movie
nm0020811,tt13197764,Undirected,1,movie
nm0020811,tt10225926,Undirected,1,movie
nm0020813,tt18376828,Undirected,1,movie
nm0021247,tt8404256,Undirected,1,movie
nm0021596,tt7780024,Undirected,1,movie
nm0022198,tt12906702,Undirected,1,movie
nm0022306,tt11083552,Undirected,1,movie
nm0022766,tt11161040,Undirected,1,movie
nm0023969,tt8338076,Undirected,1,movie
nm0024173,tt14071658,Undirected,1,movie
nm0024206,tt15421208,Undirected,1,movie
nm9835212,tt0293429,Undirected,1,movie
nm0026824,tt10095582,Undirected,1,movie
nm5521323,tt10095582,Undirected,1,movie
nm0028201,tt8489384,Undirected,1,movie
nm9434809,tt4995540,Undirected,1,movie
nm0029422,tt11083552,Undirected,1,movie
nm0029551,tt15434060,Undirected,1,movie
nm0030021,tt1677615,Undirected,1,movie
nm0031349,tt15242370,Undirected,1,movie
nm6945404,tt2382320,Undirected,1,movie
nm8958008,tt5629148,Undirected,1,movie
nm8958008,tt15472020,Undirected,1,movie
nm0031483,tt13109952,Undirected,1,movie
nm0031741,tt15976532,Undirected,1,movie
nm0032108,tt13250314,Undirected,1,movie
nm0032264,tt14749986,Undirected,1,movie
nm0033243,tt7853252,Undirected,1,movie
nm0033519,tt14077696,Undirected,1,movie
nm0033843,tt3785036,Undirected,1,movie
nm0033898,tt7270808,Undirected,1,movie
nm0034325,tt10451312,Undirected,1,movie
nm0034677,tt16294672,Undirected,1,movie
nm0034921,tt10896398,Undirected,1,movie
nm0035075,tt9684806,Undirected,1,movie
nm0036107,tt4995540,Undirected,1,movie
nm0036901,tt14162824,Undirected,1,movie
nm0037107,tt6588950,Undirected,1,movie
nm0037423,tt9603834,Undirected,1,movie
nm0037423,tt6488396,Undirected,1,movie
nm0037661,tt13979914,Undirected,1,movie
nm0037721,tt9313264,Undirected,1,movie
nm0038412,tt10661710,Undirected,1,movie
nm0038560,tt12810612,Undirected,1,movie
nm0038591,tt11892272,Undirected,1,movie
nm4213904,tt6874762,Undirected,1,movie
nm0038854,tt9731682,Undirected,1,movie
nm0039172,nm8432031,Undirected,1,movie
nm0039697,tt0499097,Undirected,1,movie
nm0039782,tt14852752,Undirected,1,movie
nm0041135,tt13244380,Undirected,1,movie
nm0043709,tt11426664,Undirected,1,movie
nm0043892,tt15132916,Undirected,1,movie
nm0043894,tt8110232,Undirected,1,movie
nm0044154,tt10038660,Undirected,1,movie
nm0045379,tt7740496,Undirected,1,movie
nm8250770,tt13388260,Undirected,1,movie
nm0047622,tt11018038,Undirected,1,movie
nm0047841,tt11847126,Undirected,1,movie
nm9489556,tt12361974,Undirected,1,movie
nm9489556,tt2382320,Undirected,1,movie
nm0048927,tt10384456,Undirected,1,movie
nm0049329,tt14274272,Undirected,1,movie
nm0049952,tt15090912,Undirected,1,movie
nm0051565,tt10515864,Undirected,1,movie
nm0051720,tt4244994,Undirected,1,movie
nm0051917,tt14810692,Undirected,1,movie
nm0052394,tt4446228,Undirected,1,movie
nm0052532,tt9766332,Undirected,1,movie
nm0052551,tt2382320,Undirected,1,movie
nm0052943,tt11859510,Undirected,1,movie
nm0053028,tt16971728,Undirected,1,movie
nm0054621,tt12831788,Undirected,1,movie
nm0054647,tt14286394,Undirected,1,movie
nm0055167,tt11214590,Undirected,1,movie
nm0055325,tt14035292,Undirected,1,movie
nm0056440,tt14688330,Undirected,1,movie
nm0056461,tt3480822,Undirected,1,movie
nm0056881,tt11285280,Undirected,1,movie
nm0057349,nm9949746,Undirected,1,movie
nm0058654,tt14207514,Undirected,1,movie
nm0058898,tt1160419,Undirected,1,movie
nm0059667,tt10810850,Undirected,1,movie
nm0059935,tt9815156,Undirected,1,movie
nm0060157,tt5926530,Undirected,1,movie
nm0060411,tt9471816,Undirected,1,movie
nm0060489,tt15670384,Undirected,1,movie
nm0060687,tt4995540,Undirected,1,movie
nm0060814,tt2717870,Undirected,1,movie
nm9639740,tt6802400,Undirected,1,movie
nm6788800,tt6755810,Undirected,1,movie
nm0061505,tt10016180,Undirected,1,movie
nm0062049,tt6402468,Undirected,1,movie
nm0062450,tt6341832,Undirected,1,movie
nm0062581,tt4732794,Undirected,1,movie
nm0063005,tt13002242,Undirected,1,movie
nm0063311,tt3228774,Undirected,1,movie
nm0063400,tt13244380,Undirected,1,movie
nm0063629,tt3420504,Undirected,1,movie
nm7033443,tt3581652,Undirected,1,movie
nm0064250,tt14620732,Undirected,1,movie
nm0064290,tt10505316,Undirected,1,movie
nm0065007,tt5034838,Undirected,1,movie
nm0065200,tt10838180,Undirected,1,movie
