Id,Label,NodeType
nm0000351,Donna D'Errico,actress
tt12861508,Survive the Game,Movie
nm0000868,Justine Bateman,actress
tt6852672,Violet,Movie
nm0001549,Rita Moreno,actress
tt3581652,West Side Story,Movie
nm0002111,Karen Grassle,actress
tt9815554,Not to Forget,Movie
nm0002871,Beatrice Ring,actress
tt11546920,Kin Dread,Movie
nm0003125,Katrina Elder,actress
tt10838180,The Matrix Resurrections,Movie
nm0004917,Kim Fields,actress
tt15800166,Adventures in Christmasing,Movie
nm0004919,Denielle Fisher Johnson,actress
tt5563324,Intrusion,Movie
nm0004952,Cynthia Garrett,actress
tt11876878,The God Man,Movie
nm0005093,Regina King,actress
tt10696784,The Harder They Fall,Movie
nm0005322,Sarah-Jane Potts,actress
tt11650226,Vengeance Is Mine,Movie
nm0005536,Dionne Warwick,actress
tt12676326,Malcolm & Marie,Movie
nm0006764,Sonali Kulkarni,actress
tt11045422,Toofaan,Movie
nm0007211,Liza Del Mundo,actress
tt5109280,Raya and the Last Dragon,Movie
nm0007404,Aamani,actress
tt13914000,Republic,Movie
nm0008288,Liza Abdullah,actress
tt15755028,Budak Kripto,Movie
nm0009313,Claudia Abrego,actress
tt11083552,Wrath of Man,Movie
nm0010207,Juana Acosta,actress
tt9077376,The Consequences,Movie
nm0012949,Tawatha Agee,actress
tt2452150,Respect,Movie
nm0013811,Zhanna Aguzarova,actress
tt14274272,March of Dawn,Movie
nm0014306,Mette Maria Ahrenkiel,actress
tt11263280,Min Søster,Movie
nm0014641,Chantal Aimée,actress
tt18337624,TNC Digital: L'Emperadriu del Paral·lel,Movie
nm0015033,Soumaya Akaaboune,actress
tt4439620,Redemption Day,Movie
nm0017756,Isabella Aldrovandi,actress
tt12463560,The Crypt Monster,Movie
nm0018955,Sandrine Alexi,actress
tt13558724,Presidents,Movie
nm0019203,Brenda Alford,actress
tt13450602,Dreamland: The Burning of Black Wall Street,Movie
nm0019713,Selma Alispahic,actress
tt15450558,Darkroom,Movie
nm0021785,Cristina Almazán,actress
tt10290510,Operación Camarón,Movie
nm0022672,Adriana Altaras,actress
tt6402468,Blood Red Sky,Movie
nm0023337,Yeni Alvarez,actress
tt6570098,Ainbo,Movie
nm0025217,Rosita Amores,actress
tt10943248,What We Know,Movie
nm0025458,Nikki Amuka-Bird,actress
tt10954652,Old,Movie
nm0026669,Elana Anderson,actress
tt13582496,Radio Theatre for Your Soul - A Docu-Story,Movie
nm0027318,Rinnan Henderson,actress
tt10426580,We Burn Like This,Movie
nm0028424,Sasha Andres,actress
tt10437232,L'Arme Ultime,Movie
nm0028441,Nina Andresen Borud,actress
tt11640536,The Middle Man,Movie
nm0029398,Jimena Anganuzzi,actress
tt11359158,The Attachment Diaries,Movie
nm0029582,Diana Angelina,actress
tt9684806,Girls' Night In,Movie
nm0029999,Márta Angyal,actress
tt14470574,Énisénis: Honour - Metoometoo,Movie
nm0030404,Julia Chantrey,actress
tt10418662,Awake,Movie
nm0030532,Nicole Ansari-Cox,actress
tt7467926,Barking Mad,Movie
nm0032804,Mónica Aragón,actress
tt14774692,Future Shock,Movie
nm0034973,Alida Arizmendi,actress
tt4511054,Attraction to Paris,Movie
nm0035563,Aviva Armour-Ostroff,actress
tt14290142,Lune,Movie
nm0036109,Lucie Arnaz,actress
tt4995540,Being the Ricardos,Movie
nm0036518,Julie Arnold,actress
tt11093266,Peaceful,Movie
nm0036796,Sanne Arnt Torp,actress
tt13225546,The Venus Effect,Movie
nm0036924,Mariya Aronova,actress
tt14141754,Couple from the Future,Movie
nm0037252,Liliana Arriaga,actress
tt14878876,Chilangolandia,Movie
nm0040377,Seyran Ates,actress
tt13318488,Seyran Ates: Sex Revolution and Islam,Movie
nm0041527,Sylvie Audcoeur,actress
tt14200930,An Ordinary Mother,Movie
nm0041895,Nadège August,actress
tt7682204,Out of Time,Movie
nm0041931,Liz Augustine,actress
tt10573984,Koko,Movie
nm0042619,Alika Autran,actress
tt8521718,The United States vs. Billie Holiday,Movie
nm0042836,Suada Ahmetasevic,actress
tt13244426,Svedsko srce moje majke,Movie
nm0043985,Helen Ayres,actress
tt3121212,C.A.M.,Movie
nm0044078,Anna Azcárate,actress
tt11307814,Red Dot,Movie
nm0044102,Rebecca Azan,actress
tt14371426,Flashback,Movie
nm0044386,Anne Azoulay,actress
tt10341034,Black Box,Movie
nm0045290,Alicja Bach,actress
tt12895250,Czarna dama,Movie
nm0045796,Joséphine Bacon,actress
tt13846456,Bootlegger,Movie
nm0046506,Alice Bag,actress
tt8847712,The French Dispatch,Movie
nm0047356,Kimberly Bailey,actress
tt12361974,Zack Snyder's Justice League,Movie
nm0048006,Marlene Bajali,actress
tt6443330,Cinema Sabaya,Movie
nm0048029,Sharon Bajer,actress
tt7888964,Nobody,Movie
nm0048132,Ewa Bakalarska,actress
tt11412892,Autumn Girl,Movie
nm0048166,Neelam Bakshi,actress
tt11260832,Bellbottom,Movie
nm0048584,Joanne Barker,actress
tt12974250,Toothfairy 3,Movie
nm0049782,Joanne Scorcia,actress
tt8844062,Charlie Boy,Movie
nm0050462,Sheila Ball,actress
tt12064810,Assault on VA-33,Movie
nm0051817,Honey Bane,actress
tt12371942,Men Behind Bars,Movie
nm0051995,Teresa Banham,actress
tt13056008,No One Gets Out Alive,Movie
nm0054528,Stephanie Bargas,actress
tt12254438,Sons of the Sea,Movie
nm0054878,Emmy Barker,actress
tt9376612,Shang-Chi and the Legend of the Ten Rings,Movie
nm0056214,Dana Lyn Baron,actress
tt4995540,Being the Ricardos,Movie
nm0056431,Rajia Baroudi,actress
tt9032400,Eternals,Movie
nm0056498,Emily Almond Barr,actress
tt10919362,Sweetheart,Movie
nm0057096,Conn Barrett,actress
tt14286394,The Legend of Resurrection Mary,Movie
nm0060747,Melissa Batchelor,actress
tt13194654,Code of Silence,Movie
nm0061223,Pooja Batra,actress
tt3100046,Squad,Movie
nm0063236,Betsy Baytos,actress
tt9810022,Barry & Joan,Movie
nm0064207,Ethel Beatty,actress
tt11422728,Summer of Soul (...Or When the Revolution Could Not Be Televised),Movie
nm0064746,Jenny Beavan,actress
tt3228774,Cruella,Movie
nm0065502,Lisa Becker,actress
tt13841708,The First Death of Joana,Movie
nm0066327,Judi Beecher,actress
tt2084952,Tango Shalom,Movie
nm0066344,Heike Beeck,actress
tt14445728,Shorty und das Geheimnis des Zauberriffs,Movie
nm0067091,Annie Behringer,actress
tt8399720,Tina,Movie
nm0067342,Maya Bejanska,actress
tt11744358,Golata istina za grupa Zhiguli,Movie
nm0067521,Baya Belal,actress
tt4761112,The Mauritanian,Movie
nm0068492,Rochelle Bell,actress
tt3910630,Grace and Grit,Movie
nm0069401,Rachel Belofsky,actress
tt11272066,Unknown Dimension: The Story of Paranormal Activity,Movie
nm0069580,Cathy Belton,actress
tt11636880,Omerta 12/6,Movie
nm0070232,Pat Benatar,actress
tt7888964,Nobody,Movie
nm0070557,Linda Weinrib,actress
tt13057076,Battle in Space: The Armada Attacks,Movie
nm0070605,Margit Bendokat,actress
tt7475578,Munich: The Edge of War,Movie
nm0071991,Rhona Bennett,actress
tt6802400,Coming 2 America,Movie
nm0072280,Dora Benousilio,actress
tt8567862,The Crossing,Movie
nm0072556,Laura Benson,actress
tt12536294,Spencer,Movie
nm0073715,Birte Berg,actress
tt12680684,The Hand of God,Movie
nm0073865,Pascal van den Berg,actress
tt13323330,Rebels @ School,Movie
nm0074945,Beatrice Bergner,actress
tt11921820,Die Grenze,Movie
nm0075719,Agathe Berman,actress
tt14683902,The Day Today,Movie
nm0076635,Petra Berndt,actress
tt5448338,Plan A,Movie
nm0077397,Elizabeth Berrington,actress
tt9639470,Last Night in Soho,Movie
tt12536294,Spencer,Movie
nm0078057,Orietta Berti,actress
tt12801262,Luca,Movie
nm0078660,Jessica Beshir,actress
tt13648216,Faya Dayi,Movie
nm0079125,Natalia Betancurt,actress
tt14505782,Millonario sin amor,Movie
nm0080181,Bhagyashree Patwardhan,actress
tt10152736,Thalaivi,Movie
nm0080352,Jaya Bhattacharya,actress
tt10895576,Mimi,Movie
nm0080487,Leigh Biagi,actress
tt11332484,The Road Dance,Movie
nm0081675,Magali Biff,actress
tt14667700,The Joy of Things,Movie
nm0083167,Nicole Biondi,actress
tt10375632,C'est magnifique!,Movie
nm0084509,Amélia Bittencourt,actress
tt10573946,There's Something About Mario,Movie
nm0085244,Denise Black,actress
tt13097336,The Lady of Heaven,Movie
nm0085765,Nicola Blackman,actress
tt16422904,Peter Duncan's Cinderella,Movie
nm0085840,Doreene Blackstock,actress
tt13468436,The Colour Room,Movie
nm0086292,Kimberly Blair,actress
tt10533804,Let Us In,Movie
nm0087002,Ana Gloria Blanch,actress
tt5154454,Entre Fronteras,Movie
nm0087267,Isabel Blanco,actress
tt11579538,The Replacement,Movie
nm0087757,Denise Blasor,actress
tt13929804,Calle de la Resistencia,Movie
nm0087777,Sarah Blaßkiewitz,actress
tt11006636,Ivie wie Ivie,Movie
nm0087893,Ruth Blauert,actress
tt4103990,12 Theses,Movie
nm0089240,Suzy Bloom,actress
tt11418284,The Art of Love,Movie
nm0089872,Tanya Blumstein,actress
tt10696896,Stillwater,Movie
nm0091060,Johanna Bodor,actress
tt8205028,The Story of My Wife,Movie
nm0091080,Claire Bodson,actress
tt13648232,Mother Schmuckers,Movie
nm0092677,Katie Boland,actress
tt12677948,We're All in This Together,Movie
