Source,Target,Type,Weight,TitleType
nm2703983,tt12861508,Undirected,1,movie
nm0000868,nm9804083,Undirected,1,movie
nm6973976,tt3581652,Undirected,1,movie
nm0002111,tt9815554,Undirected,1,movie
nm0002871,tt11546920,Undirected,1,movie
nm0003125,tt10838180,Undirected,1,movie
nm4872817,tt15800166,Undirected,1,movie
nm0004919,tt5563324,Undirected,1,movie
nm0004952,tt11876878,Undirected,1,movie
nm0005093,tt10696784,Undirected,1,movie
nm0005322,tt11650226,Undirected,1,movie
nm0005536,tt12676326,Undirected,1,movie
nm6401681,tt11045422,Undirected,1,movie
nm0007211,tt5109280,Undirected,1,movie
nm0007404,tt13914000,Undirected,1,movie
nm0008288,tt15755028,Undirected,1,movie
nm0009313,tt11083552,Undirected,1,movie
nm0010207,tt9077376,Undirected,1,movie
nm0012949,tt2452150,Undirected,1,movie
nm0013811,tt14274272,Undirected,1,movie
nm0014306,tt11263280,Undirected,1,movie
nm0014641,tt18337624,Undirected,1,movie
nm0015033,tt4439620,Undirected,1,movie
nm0017756,tt12463560,Undirected,1,movie
nm0018955,tt13558724,Undirected,1,movie
nm0019203,tt13450602,Undirected,1,movie
nm0019713,tt15450558,Undirected,1,movie
nm0021785,tt10290510,Undirected,1,movie
nm0022672,tt6402468,Undirected,1,movie
nm0023337,tt6570098,Undirected,1,movie
nm0025217,tt10943248,Undirected,1,movie
nm0025458,tt10954652,Undirected,1,movie
nm8103169,tt13582496,Undirected,1,movie
nm0027318,tt10426580,Undirected,1,movie
nm0028424,tt10437232,Undirected,1,movie
nm0028441,tt11640536,Undirected,1,movie
nm0029398,tt11359158,Undirected,1,movie
nm0029582,tt9684806,Undirected,1,movie
nm0029999,tt14470574,Undirected,1,movie
nm0030404,tt10418662,Undirected,1,movie
nm0030532,tt7467926,Undirected,1,movie
nm0032804,tt14774692,Undirected,1,movie
nm0034973,tt4511054,Undirected,1,movie
nm0035563,tt14290142,Undirected,1,movie
nm0036109,tt4995540,Undirected,1,movie
nm7219462,tt11093266,Undirected,1,movie
nm0036796,tt13225546,Undirected,1,movie
nm0036924,tt14141754,Undirected,1,movie
nm0037252,tt14878876,Undirected,1,movie
nm0040377,tt13318488,Undirected,1,movie
nm0041527,tt14200930,Undirected,1,movie
nm0041895,tt7682204,Undirected,1,movie
nm0041931,nm9822550,Undirected,1,movie
nm0042619,tt8521718,Undirected,1,movie
nm0042836,tt13244426,Undirected,1,movie
nm12850382,tt3121212,Undirected,1,movie
nm0044078,tt11307814,Undirected,1,movie
nm0044102,tt14371426,Undirected,1,movie
nm0044386,tt10341034,Undirected,1,movie
nm0045290,tt12895250,Undirected,1,movie
nm0045796,tt13846456,Undirected,1,movie
nm0046506,tt8847712,Undirected,1,movie
nm3383575,tt12361974,Undirected,1,movie
nm0048006,tt6443330,Undirected,1,movie
nm0048029,tt7888964,Undirected,1,movie
nm0048132,tt11412892,Undirected,1,movie
nm0048166,tt11260832,Undirected,1,movie
nm0048584,tt12974250,Undirected,1,movie
nm0049782,tt8844062,Undirected,1,movie
nm0050462,tt12064810,Undirected,1,movie
nm0051817,tt12371942,Undirected,1,movie
nm0051995,tt13056008,Undirected,1,movie
nm0054528,tt12254438,Undirected,1,movie
nm0054878,tt9376612,Undirected,1,movie
nm0056214,tt4995540,Undirected,1,movie
nm0056431,tt9032400,Undirected,1,movie
nm0056498,tt10919362,Undirected,1,movie
nm0057096,tt14286394,Undirected,1,movie
nm0060747,tt13194654,Undirected,1,movie
nm0061223,tt3100046,Undirected,1,movie
nm0063236,tt9810022,Undirected,1,movie
nm0064207,tt11422728,Undirected,1,movie
nm0064746,tt3228774,Undirected,1,movie
nm8293623,tt13841708,Undirected,1,movie
nm0066327,tt2084952,Undirected,1,movie
nm0066344,tt14445728,Undirected,1,movie
nm0067091,nm9897646,Undirected,1,movie
nm0067342,tt11744358,Undirected,1,movie
nm0067521,tt4761112,Undirected,1,movie
nm0068492,tt3910630,Undirected,1,movie
nm0069401,tt11272066,Undirected,1,movie
nm0069580,tt11636880,Undirected,1,movie
nm0070232,tt7888964,Undirected,1,movie
nm0070557,tt13057076,Undirected,1,movie
nm0070605,tt7475578,Undirected,1,movie
nm0071991,tt6802400,Undirected,1,movie
nm0072280,tt8567862,Undirected,1,movie
nm6902952,tt12536294,Undirected,1,movie
nm0073715,tt12680684,Undirected,1,movie
nm0073865,tt13323330,Undirected,1,movie
nm0074945,tt11921820,Undirected,1,movie
nm0075719,tt14683902,Undirected,1,movie
nm0076635,tt5448338,Undirected,1,movie
nm0077397,tt9639470,Undirected,1,movie
nm0077397,tt12536294,Undirected,1,movie
nm0078057,tt12801262,Undirected,1,movie
nm0078660,tt13648216,Undirected,1,movie
nm0079125,tt14505782,Undirected,1,movie
nm0080181,tt10152736,Undirected,1,movie
nm0080352,nm9882456,Undirected,1,movie
nm0080487,tt11332484,Undirected,1,movie
nm0081675,tt14667700,Undirected,1,movie
nm0083167,tt10375632,Undirected,1,movie
nm0084509,tt10573946,Undirected,1,movie
nm8355420,tt13097336,Undirected,1,movie
nm0085765,tt16422904,Undirected,1,movie
nm0085840,tt13468436,Undirected,1,movie
nm0086292,tt10533804,Undirected,1,movie
nm0087002,tt5154454,Undirected,1,movie
nm1623696,tt11579538,Undirected,1,movie
nm0087757,tt13929804,Undirected,1,movie
nm0087777,tt11006636,Undirected,1,movie
nm0087893,tt4103990,Undirected,1,movie
nm0089240,tt11418284,Undirected,1,movie
nm0089872,tt10696896,Undirected,1,movie
nm6011995,tt8205028,Undirected,1,movie
nm0091080,tt13648232,Undirected,1,movie
nm0092677,tt12677948,Undirected,1,movie
nm0093081,tt14077696,Undirected,1,movie
nm0094133,tt17156788,Undirected,1,movie
nm0094163,tt10037014,Undirected,1,movie
nm0094163,tt7069210,Undirected,1,movie
nm0094751,tt11018038,Undirected,1,movie
nm0095561,tt8489384,Undirected,1,movie
nm0096051,tt15137876,Undirected,1,movie
nm0096544,tt10573946,Undirected,1,movie
nm0096669,tt11214590,Undirected,1,movie
nm0096669,tt10456804,Undirected,1,movie
nm0098224,tt10393074,Undirected,1,movie
nm0098648,tt9139292,Undirected,1,movie
nm0098871,tt13462472,Undirected,1,movie
nm0099036,tt14813610,Undirected,1,movie
nm0099382,tt15779170,Undirected,1,movie
nm0099467,tt14068864,Undirected,1,movie
nm0100544,tt10366514,Undirected,1,movie
nm0100587,tt14916564,Undirected,1,movie
nm9257804,tt7780024,Undirected,1,movie
nm0102726,tt3581652,Undirected,1,movie
nm0103710,tt7575952,Undirected,1,movie
nm0103841,tt9265520,Undirected,1,movie
nm0104309,tt12789558,Undirected,1,movie
nm0104471,tt9777666,Undirected,1,movie
nm0105876,tt9217296,Undirected,1,movie
nm0105984,tt13153754,Undirected,1,movie
nm0106107,tt13311066,Undirected,1,movie
nm0108733,tt10669868,Undirected,1,movie
nm0108939,tt12361974,Undirected,1,movie
nm0109199,tt9850740,Undirected,1,movie
nm0109328,tt4995540,Undirected,1,movie
nm0109756,tt6423956,Undirected,1,movie
nm7719268,tt10962838,Undirected,1,movie
nm0111816,tt8404256,Undirected,1,movie
nm13486916,tt2178993,Undirected,1,movie
nm0113105,tt12226872,Undirected,1,movie
nm0113105,tt15839362,Undirected,1,movie
nm8928546,tt8192212,Undirected,1,movie
nm0115410,tt10293406,Undirected,1,movie
nm8716106,tt12361974,Undirected,1,movie
nm0117866,tt7737640,Undirected,1,movie
nm0118564,tt1207641,Undirected,1,movie
nm0119500,tt9243804,Undirected,1,movie
nm0119754,tt9170516,Undirected,1,movie
nm0119832,tt17066696,Undirected,1,movie
nm0121413,tt0993840,Undirected,1,movie
nm0121530,tt12463560,Undirected,1,movie
nm0122124,tt11311754,Undirected,1,movie
nm0122403,nm8893933,Undirected,1,movie
nm9643543,tt1321510,Undirected,1,movie
nm0123341,tt11423214,Undirected,1,movie
nm0123362,tt9376612,Undirected,1,movie
nm0124689,tt8372638,Undirected,1,movie
nm0124689,tt9129136,Undirected,1,movie
nm8559073,nm9987357,Undirected,1,movie
nm8989941,tt12266988,Undirected,1,movie
nm0125285,tt9024096,Undirected,1,movie
nm0125886,tt9413078,Undirected,1,movie
nm0125961,tt7029534,Undirected,1,movie
nm0128024,tt7972012,Undirected,1,movie
nm0129026,tt9357050,Undirected,1,movie
nm0129272,tt12717808,Undirected,1,movie
nm0130395,tt12851564,Undirected,1,movie
nm0132023,tt14850172,Undirected,1,movie
nm0132713,tt13937354,Undirected,1,movie
nm0134560,tt8847712,Undirected,1,movie
nm0134580,tt3590964,Undirected,1,movie
nm0137149,tt11310670,Undirected,1,movie
nm0137155,tt2076822,Undirected,1,movie
nm0138516,tt0993840,Undirected,1,movie
nm10848870,tt13494136,Undirected,1,movie
nm0140161,tt14174506,Undirected,1,movie
nm0141126,tt10944760,Undirected,1,movie
nm0141308,tt7467926,Undirected,1,movie
nm0141807,tt15771862,Undirected,1,movie
nm9039186,tt0499097,Undirected,1,movie
nm0142404,tt11621960,Undirected,1,movie
nm0143143,tt10731768,Undirected,1,movie
nm0143308,tt10944760,Undirected,1,movie
nm12818691,tt14681908,Undirected,1,movie
nm5786485,tt12000340,Undirected,1,movie
nm0146148,tt10293406,Undirected,1,movie
nm0148915,tt15113010,Undirected,1,movie
nm0149367,tt15388610,Undirected,1,movie
nm10967707,tt14961160,Undirected,1,movie
nm0149910,tt10954652,Undirected,1,movie
nm0150072,tt15474124,Undirected,1,movie
nm8115247,tt3228774,Undirected,1,movie
nm0151612,tt15840228,Undirected,1,movie
nm0152420,tt9620288,Undirected,1,movie
nm0153948,tt13576014,Undirected,1,movie
nm0154195,tt8850576,Undirected,1,movie
nm0154320,tt13285394,Undirected,1,movie
nm0154833,tt11056732,Undirected,1,movie
nm0155275,tt3581652,Undirected,1,movie
nm0155298,tt16162114,Undirected,1,movie
nm0156957,tt14134604,Undirected,1,movie
nm0156957,tt11162178,Undirected,1,movie
nm0157465,tt11872668,Undirected,1,movie
nm0157796,tt9376612,Undirected,1,movie
nm0159786,tt9043484,Undirected,1,movie
nm12521191,tt9777666,Undirected,1,movie
nm0161225,tt11584538,Undirected,1,movie
nm0161225,tt15459190,Undirected,1,movie
nm0163323,tt14039392,Undirected,1,movie
nm0165828,tt11166512,Undirected,1,movie
nm0166549,tt11685140,Undirected,1,movie
nm0166794,tt13098282,Undirected,1,movie
nm0168224,nm9909747,Undirected,1,movie
nm0169661,tt8137454,Undirected,1,movie
nm0171216,tt13582496,Undirected,1,movie
nm0171768,tt11691034,Undirected,1,movie
nm0173119,tt6802400,Undirected,1,movie
nm0173124,tt3811906,Undirected,1,movie
nm0173136,tt6802400,Undirected,1,movie
nm0173297,tt11649338,Undirected,1,movie
nm0173738,tt12361974,Undirected,1,movie
nm0174398,tt1893273,Undirected,1,movie
nm0174819,tt9684220,Undirected,1,movie
nm0174851,tt7996036,Undirected,1,movie
nm0175017,tt13983776,Undirected,1,movie
nm0175202,tt3513522,Undirected,1,movie
nm0175932,tt13142240,Undirected,1,movie
nm13360920,tt14774692,Undirected,1,movie
nm0176721,tt13145700,Undirected,1,movie
nm0178868,tt6641582,Undirected,1,movie
nm0179009,tt10960102,Undirected,1,movie
nm0179151,tt11003218,Undirected,1,movie
nm0179454,tt10342914,Undirected,1,movie
nm0181117,tt13321730,Undirected,1,movie
nm0181910,nm9859501,Undirected,1,movie
nm0185888,tt5957700,Undirected,1,movie
nm4370824,tt13892710,Undirected,1,movie
nm7484188,tt7638556,Undirected,1,movie
nm0186963,tt14256666,Undirected,1,movie
nm0188730,tt4995540,Undirected,1,movie
nm0188763,tt6949696,Undirected,1,movie
nm0188780,tt8545482,Undirected,1,movie
nm0189562,tt3228774,Undirected,1,movie
nm0189713,tt15109082,Undirected,1,movie
nm11227205,tt10632226,Undirected,1,movie
nm0192451,tt7029534,Undirected,1,movie
nm0192852,tt9376612,Undirected,1,movie
nm0193876,tt15047244,Undirected,1,movie
