Id,Label,NodeType
nm0000351,Donna D'Errico,director
tt12861508,Survive the Game,movie
nm0001005,Jane Campion,director
tt10293406,The Power of the Dog,movie
nm0001206,Abel Ferrara,director
tt13432484,Zeros and Ones,movie
nm0001424,Udo Kier,director
tt10832274,Swan Song,movie
nm0001707,Paul Schrader,director
tt11196036,The Card Counter,movie
nm0002349,Kevin Inch,director
tt0993840,Army of the Dead,movie
nm0002365,Dionysio Basco,director
tt13322120,American Sicario,movie
nm0002576,Walter Fasano,director
tt10686204,Pino,movie
nm0002611,Claus Drexel,director
tt11018044,Ladies of the Wood,movie
nm0002808,Andrea Maxwell,director
tt9376612,Shang-Chi and the Legend of the Ten Rings,movie
tt3480822,Black Widow,movie
nm0002841,Jamie Kirkpatrick,director
tt12731980,Old Henry,movie
nm0002871,Beatrice Ring,director
tt11546920,Kin Dread,movie
nm0003021,Chris McKay,director
tt9777666,The Tomorrow War,movie
nm0003201,Tim Sullivan,director
tt10101702,My Little Pony: A New Generation,movie
nm0003328,Peter Foldy,director
tt3480822,Black Widow,movie
nm0003442,Matthias Grunsky,director
tt11678452,Search,movie
nm0003611,Uwe Greiner,director
tt9203694,Stowaway,movie
nm0003727,Marco Speroni,director
tt14366518,A Declaration of Love,movie
nm0004001,Mark Archer,director
tt13222004,The Mind Polluters,movie
nm0004026,Jeff Hoffman,director
tt14134070,Alien Conquest,movie
nm0004078,Péter Politzer,director
tt10415684,Ravine,movie
nm0004509,Patricia Chica,director
tt13535874,Filtered,movie
nm0004689,Frédéric Forestier,director
tt15049366,The Bodin's in the Land of Smile,movie
nm0004917,Kim Fields,director
tt15800166,Adventures in Christmasing,movie
nm0005093,Regina King,director
tt10696784,The Harder They Fall,movie
nm0005612,Jeremy Stein,director
tt0293429,Mortal Kombat,movie
nm0005667,Caroline Champetier,director
tt6217926,Annette,movie
nm0006516,Chris Terrio,director
tt12361974,Zack Snyder's Justice League,movie
nm0006549,Renato Falcão,director
tt14664312,Verona,movie
nm0006604,Ruben Pla,director
tt3811906,Malignant,movie
nm0006821,Marc D. Rienzo,director
tt10872600,Spider-Man: No Way Home,movie
nm0006846,Ric Roman Waugh,director
tt14547524,National Champions,movie
nm0008789,Daniela Abke,director
tt15444298,Belleville belle et rebelle,movie
nm0009302,Hadi Abrar,director
tt13687332,Afra Tafri,movie
nm0009729,Steve Acevedo,director
tt12392896,Love and Baseball,movie
nm0011104,Julian Adams,director
tt2325310,Absurdist,movie
nm0011752,Maren Ade,director
tt12536294,Spencer,movie
nm0012426,Aaron Adrian,director
tt10962838,The Big Rant,movie
nm0013147,MYC Agnew,director
tt2488666,Malibu Horror Story,movie
tt13458414,Life After,movie
nm0013854,Noa Aharoni,director
tt15338902,Not a Word of Truth,movie
