Source,Target,Type,Weight,TitleType
nm0000351,tt12861508,Undirected,1,movie
nm0001005,tt10293406,Undirected,1,movie
nm0001206,tt13432484,Undirected,1,movie
nm0001424,tt10832274,Undirected,1,movie
nm0001707,tt11196036,Undirected,1,movie
nm0002349,tt0993840,Undirected,1,movie
nm0002365,tt13322120,Undirected,1,movie
nm0002576,tt10686204,Undirected,1,movie
nm0002611,tt11018044,Undirected,1,movie
nm0002808,tt9376612,Undirected,1,movie
nm0002808,tt3480822,Undirected,1,movie
nm0002841,tt12731980,Undirected,1,movie
nm0002871,tt11546920,Undirected,1,movie
nm0003021,tt9777666,Undirected,1,movie
nm4219659,tt10101702,Undirected,1,movie
nm0003328,tt3480822,Undirected,1,movie
nm0003442,tt11678452,Undirected,1,movie
nm0003611,tt9203694,Undirected,1,movie
nm0003727,tt14366518,Undirected,1,movie
nm0004001,tt13222004,Undirected,1,movie
nm0004026,tt14134070,Undirected,1,movie
nm0004078,tt10415684,Undirected,1,movie
nm0004509,tt13535874,Undirected,1,movie
nm0004689,tt15049366,Undirected,1,movie
nm0004917,tt15800166,Undirected,1,movie
nm0005093,tt10696784,Undirected,1,movie
nm0005612,tt0293429,Undirected,1,movie
nm0005667,tt6217926,Undirected,1,movie
nm0006516,tt12361974,Undirected,1,movie
nm0006549,tt14664312,Undirected,1,movie
nm0006604,tt3811906,Undirected,1,movie
nm0006821,tt10872600,Undirected,1,movie
nm0006846,tt14547524,Undirected,1,movie
nm0008789,tt15444298,Undirected,1,movie
nm0009302,tt13687332,Undirected,1,movie
nm0009729,tt12392896,Undirected,1,movie
nm0011104,tt2325310,Undirected,1,movie
nm0011752,tt12536294,Undirected,1,movie
nm0012426,tt10962838,Undirected,1,movie
nm0013147,tt2488666,Undirected,1,movie
nm0013147,tt15389906,Undirected,1,movie
nm0013854,tt15338902,Undirected,1,movie
nm0014426,tt11579538,Undirected,1,movie
nm0015443,tt10665338,Undirected,1,movie
nm0015754,tt16384288,Undirected,1,movie
nm0018407,tt11214590,Undirected,1,movie
nm0019144,tt5576912,Undirected,1,movie
nm0019920,tt15301628,Undirected,1,movie
nm5327697,tt13071366,Undirected,1,movie
nm0021596,tt7780024,Undirected,1,movie
nm0022053,tt2304637,Undirected,1,movie
