Id,Label,NodeType
nm0001005,Jane Campion,writer
tt10293406,The Power of the Dog,movie
nm0001206,Abel Ferrara,writer
tt13432484,Zeros and Ones,movie
nm0001707,Paul Schrader,writer
tt11196036,The Card Counter,movie
nm0002111,Karen Grassle,writer
tt9815554,Not to Forget,movie
nm0002119,Arsenio Hall,writer
tt6802400,Coming 2 America,movie
nm0002611,Claus Drexel,writer
tt11018044,Ladies of the Wood,movie
nm0002871,Beatrice Ring,writer
tt11546920,Kin Dread,movie
nm0003145,Paul Barry,writer
tt7888964,Nobody,movie
nm0003201,Tim Sullivan,writer
tt10101702,My Little Pony: A New Generation,movie
nm0003328,Peter Foldy,writer
tt3480822,Black Widow,movie
nm0003727,Marco Speroni,writer
tt14366518,A Declaration of Love,movie
nm0003798,Donald Martin,writer
tt8338076,Queen Bees,movie
nm0003953,Matthew Huffman,writer
tt13453006,Red Rocket,movie
nm0004026,Jeff Hoffman,writer
tt14134070,Alien Conquest,movie
nm0004078,Péter Politzer,writer
tt10415684,Ravine,movie
nm0004509,Patricia Chica,writer
tt13535874,Filtered,movie
nm0004689,Frédéric Forestier,writer
tt15049366,The Bodin's in the Land of Smile,movie
nm0005612,Jeremy Stein,writer
tt0293429,Mortal Kombat,movie
nm0006516,Chris Terrio,writer
tt12361974,Zack Snyder's Justice League,movie
nm0006572,Somtow Sucharitkul,writer
tt14209234,The Maestro,movie
nm0006680,Wendy Braff,writer
tt13616400,Just Swipe,movie
nm0006821,Marc D. Rienzo,writer
tt10872600,Spider-Man: No Way Home,movie
nm0006846,Ric Roman Waugh,writer
tt14547524,National Champions,movie
nm0008789,Daniela Abke,writer
tt15444298,Belleville belle et rebelle,movie
nm0011752,Maren Ade,writer
tt12536294,Spencer,movie
nm0012426,Aaron Adrian,writer
tt10962838,The Big Rant,movie
nm0012948,Steve Agee,writer
tt6334354,The Suicide Squad,movie
nm0013854,Noa Aharoni,writer
tt15338902,Not a Word of Truth,movie
nm0014122,Mehdi Ahmadi,writer
tt16764112,Dumb,movie
nm0014426,Óscar Aibar,writer
tt11579538,The Replacement,movie
nm0015149,Jacques Akchoti,writer
tt14200930,An Ordinary Mother,movie
