Source,Target,Type,Weight,TitleType
nm0001005,tt10293406,Undirected,1,movie
nm0001206,tt13432484,Undirected,1,movie
nm0001707,tt11196036,Undirected,1,movie
nm0002111,tt9815554,Undirected,1,movie
nm0002119,tt6802400,Undirected,1,movie
nm0002611,tt11018044,Undirected,1,movie
nm0002871,tt11546920,Undirected,1,movie
nm1726236,tt7888964,Undirected,1,movie
nm0838375,tt10101702,Undirected,1,movie
nm0003328,tt3480822,Undirected,1,movie
nm0003727,tt14366518,Undirected,1,movie
nm5958947,tt8338076,Undirected,1,movie
nm0003953,tt13453006,Undirected,1,movie
nm4917488,tt14134070,Undirected,1,movie
nm0004078,tt10415684,Undirected,1,movie
nm0004509,tt13535874,Undirected,1,movie
nm0004689,tt15049366,Undirected,1,movie
nm0005612,tt0293429,Undirected,1,movie
nm0006516,tt12361974,Undirected,1,movie
nm0006572,tt14209234,Undirected,1,movie
nm0006680,tt13616400,Undirected,1,movie
nm0006821,tt10872600,Undirected,1,movie
nm0006846,tt14547524,Undirected,1,movie
nm0008789,tt15444298,Undirected,1,movie
nm0011752,tt12536294,Undirected,1,movie
nm0012426,tt10962838,Undirected,1,movie
nm0012948,tt6334354,Undirected,1,movie
nm0013854,tt15338902,Undirected,1,movie
nm0014122,tt16764112,Undirected,1,movie
nm0014426,tt11579538,Undirected,1,movie
nm0015149,tt14200930,Undirected,1,movie
nm0015149,tt10944760,Undirected,1,movie
nm0015696,tt16068914,Undirected,1,movie
nm0015792,tt8466482,Undirected,1,movie
nm12123988,tt3472862,Undirected,1,movie
nm0016598,tt14536840,Undirected,1,movie
nm0017773,tt12851564,Undirected,1,movie
nm0017811,tt14219396,Undirected,1,movie
nm4321276,tt11214590,Undirected,1,movie
nm0020811,tt13197764,Undirected,1,movie
nm0020811,tt10225926,Undirected,1,movie
nm0021596,tt7780024,Undirected,1,movie
nm0022053,tt2304637,Undirected,1,movie
nm0022672,tt6402468,Undirected,1,movie
nm0022766,tt11161040,Undirected,1,movie
nm0023481,tt15298982,Undirected,1,movie
nm0024173,tt14071658,Undirected,1,movie
nm0024263,tt15557314,Undirected,1,movie
nm0024281,tt5068978,Undirected,1,movie
nm0025241,tt10715446,Undirected,1,movie
nm3527581,tt8847712,Undirected,1,movie
nm0028301,tt13062772,Undirected,1,movie
nm0028418,tt14167418,Undirected,1,movie
nm0028424,tt10437232,Undirected,1,movie
nm0028764,tt11847410,Undirected,1,movie
nm0028764,tt1800393,Undirected,1,movie
nm0030618,tt15167986,Undirected,1,movie
